Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
1.355000E-8	-2.089970E-2
1.360000E-8	-2.105044E-2
1.365000E-8	-2.119776E-2
1.370000E-8	-2.131766E-2
1.375000E-8	-2.138789E-2
1.380000E-8	-2.143072E-2
1.385000E-8	-2.144271E-2
1.390000E-8	-2.141873E-2
1.395000E-8	-2.127141E-2
1.400000E-8	-2.107956E-2
1.405000E-8	-2.085345E-2
1.410000E-8	-2.058795E-2
1.415000E-8	-2.032587E-2
1.420000E-8	-2.001068E-2
1.425000E-8	-1.968522E-2
1.430000E-8	-1.935462E-2
1.435000E-8	-1.899148E-2
1.440000E-8	-1.862319E-2
1.445000E-8	-1.823949E-2
1.450000E-8	-1.794315E-2
1.455000E-8	-1.772732E-2
1.460000E-8	-1.752690E-2
1.465000E-8	-1.739329E-2
1.470000E-8	-1.727339E-2
1.475000E-8	-1.717918E-2
1.480000E-8	-1.713293E-2
1.485000E-8	-1.711751E-2
1.490000E-8	-1.712607E-2
1.495000E-8	-1.718603E-2
1.500000E-8	-1.729908E-2
1.505000E-8	-1.744297E-2
1.510000E-8	-1.755431E-2
1.515000E-8	-1.773588E-2
1.520000E-8	-1.797056E-2
1.525000E-8	-1.820352E-2
1.530000E-8	-1.843134E-2
1.535000E-8	-1.870199E-2
1.540000E-8	-1.896064E-2
1.545000E-8	-1.924157E-2
1.550000E-8	-1.954133E-2
1.555000E-8	-1.982568E-2
1.560000E-8	-2.014087E-2
1.565000E-8	-2.044748E-2
1.570000E-8	-2.071984E-2
1.575000E-8	-2.093910E-2
1.580000E-8	-2.112924E-2
1.585000E-8	-2.123715E-2
1.590000E-8	-2.132280E-2
1.595000E-8	-2.137076E-2
1.600000E-8	-2.133822E-2
1.605000E-8	-2.123544E-2
1.610000E-8	-2.109841E-2
1.615000E-8	-2.095281E-2
1.620000E-8	-2.073012E-2
1.625000E-8	-2.046975E-2
1.630000E-8	-2.024536E-2
1.635000E-8	-1.999698E-2
1.640000E-8	-1.975545E-2
1.645000E-8	-1.952078E-2
1.650000E-8	-1.926384E-2
1.655000E-8	-1.901032E-2
1.660000E-8	-1.878764E-2
1.665000E-8	-1.854611E-2
1.670000E-8	-1.827204E-2
1.675000E-8	-1.794144E-2
1.680000E-8	-1.765195E-2
1.685000E-8	-1.738987E-2
1.690000E-8	-1.714149E-2
1.695000E-8	-1.693594E-2
1.700000E-8	-1.676464E-2
1.705000E-8	-1.666872E-2
1.710000E-8	-1.663788E-2
1.715000E-8	-1.668413E-2
1.720000E-8	-1.678691E-2
1.725000E-8	-1.693594E-2
1.730000E-8	-1.710723E-2
1.735000E-8	-1.729566E-2
1.740000E-8	-1.747380E-2
1.745000E-8	-1.761427E-2
1.750000E-8	-1.781125E-2
1.755000E-8	-1.802880E-2
1.760000E-8	-1.824634E-2
1.765000E-8	-1.842449E-2
1.770000E-8	-1.860778E-2
1.775000E-8	-1.879963E-2
1.780000E-8	-1.898634E-2
1.785000E-8	-1.917476E-2
1.790000E-8	-1.930837E-2
1.795000E-8	-1.939916E-2
1.800000E-8	-1.946425E-2
1.805000E-8	-1.948995E-2
1.810000E-8	-1.950022E-2
1.815000E-8	-1.950536E-2
1.820000E-8	-1.949680E-2
1.825000E-8	-1.951050E-2
1.830000E-8	-1.952592E-2
1.835000E-8	-1.944712E-2
1.840000E-8	-1.933064E-2
1.845000E-8	-1.920046E-2
1.850000E-8	-1.907027E-2
1.855000E-8	-1.895379E-2
1.860000E-8	-1.882703E-2
1.865000E-8	-1.870370E-2
1.870000E-8	-1.855467E-2
1.875000E-8	-1.839537E-2
1.880000E-8	-1.821208E-2
1.885000E-8	-1.800311E-2
1.890000E-8	-1.779241E-2
