Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
4.700000E-9	-1.390915E-3
4.750000E-9	-1.456008E-3
4.800000E-9	-1.433739E-3
4.850000E-9	-1.385777E-3
4.900000E-9	-1.264157E-3
4.950000E-9	-1.132260E-3
5.000000E-9	-9.558261E-4
5.050000E-9	-7.399944E-4
5.100000E-9	-4.899037E-4
5.150000E-9	-2.278224E-4
5.200000E-9	-1.712950E-6
5.250000E-9	2.432389E-4
5.300000E-9	4.487929E-4
5.350000E-9	6.474951E-4
5.400000E-9	8.170772E-4
5.450000E-9	8.907340E-4
5.500000E-9	9.609650E-4
5.550000E-9	1.008928E-3
5.600000E-9	1.120269E-3
5.650000E-9	1.322397E-3
5.700000E-9	1.676978E-3
5.750000E-9	2.204567E-3
5.800000E-9	2.995950E-3
5.850000E-9	4.116219E-3
5.900000E-9	5.577365E-3
5.950000E-9	7.384528E-3
6.000000E-9	9.505160E-3
6.050000E-9	1.188959E-2
6.100000E-9	1.446072E-2
6.150000E-9	1.717232E-2
6.200000E-9	1.982568E-2
6.250000E-9	2.235914E-2
6.300000E-9	2.474356E-2
6.350000E-9	2.686248E-2
6.400000E-9	2.863881E-2
6.450000E-9	3.003487E-2
6.500000E-9	3.117398E-2
6.550000E-9	3.203217E-2
6.600000E-9	3.267624E-2
6.650000E-9	3.320040E-2
6.700000E-9	3.365947E-2
6.750000E-9	3.415794E-2
6.800000E-9	3.469409E-2
6.850000E-9	3.534330E-2
6.900000E-9	3.602848E-2
6.950000E-9	3.677875E-2
7.000000E-9	3.758726E-2
7.050000E-9	3.829985E-2
7.100000E-9	3.892165E-2
7.150000E-9	3.937044E-2
7.200000E-9	3.962910E-2
7.250000E-9	3.964280E-2
7.300000E-9	3.939443E-2
7.350000E-9	3.886855E-2
7.400000E-9	3.809944E-2
7.450000E-9	3.715731E-2
7.500000E-9	3.600621E-2
7.550000E-9	3.477460E-2
7.600000E-9	3.350016E-2
7.650000E-9	3.226170E-2
7.700000E-9	3.105065E-2
7.750000E-9	2.988070E-2
7.800000E-9	2.881696E-2
7.850000E-9	2.788854E-2
7.900000E-9	2.710058E-2
7.950000E-9	2.642225E-2
8.000000E-9	2.590494E-2
8.050000E-9	2.548013E-2
8.100000E-9	2.517865E-2
8.150000E-9	2.504162E-2
8.200000E-9	2.493028E-2
8.250000E-9	2.488403E-2
8.300000E-9	2.493713E-2
8.350000E-9	2.508615E-2
8.400000E-9	2.532083E-2
8.450000E-9	2.562059E-2
8.500000E-9	2.599744E-2
8.550000E-9	2.644281E-2
8.600000E-9	2.697382E-2
8.650000E-9	2.754766E-2
8.700000E-9	2.820372E-2
8.750000E-9	2.884265E-2
8.800000E-9	2.947644E-2
8.850000E-9	3.006741E-2
8.900000E-9	3.059671E-2
8.950000E-9	3.119111E-2
9.000000E-9	3.173754E-2
9.050000E-9	3.229425E-2
9.100000E-9	3.292633E-2
9.150000E-9	3.354127E-2
9.200000E-9	3.410655E-2
9.250000E-9	3.459817E-2
9.300000E-9	3.497673E-2
9.350000E-9	3.524566E-2
9.400000E-9	3.542381E-2
9.450000E-9	3.547177E-2
9.500000E-9	3.533816E-2
9.550000E-9	3.505724E-2
9.600000E-9	3.462043E-2
9.650000E-9	3.406544E-2
9.700000E-9	3.342822E-2
9.750000E-9	3.271563E-2
9.800000E-9	3.192425E-2
9.850000E-9	3.109347E-2
9.900000E-9	3.032435E-2
9.950000E-9	2.957066E-2
1.000000E-8	2.881353E-2
1.005000E-8	2.806669E-2
1.010000E-8	2.736266E-2
1.015000E-8	2.666378E-2
1.020000E-8	2.603170E-2
1.025000E-8	2.555893E-2
1.030000E-8	2.514953E-2
1.035000E-8	2.484977E-2
1.040000E-8	2.467847E-2
1.045000E-8	2.466648E-2
1.050000E-8	2.472815E-2
1.055000E-8	2.492514E-2
1.060000E-8	2.519578E-2
1.065000E-8	2.553666E-2
1.070000E-8	2.593920E-2
1.075000E-8	2.633318E-2
1.080000E-8	2.678711E-2
1.085000E-8	2.723248E-2
1.090000E-8	2.768127E-2
1.095000E-8	2.813520E-2
1.100000E-8	2.854631E-2
1.105000E-8	2.899682E-2
1.110000E-8	2.953297E-2
1.115000E-8	3.004343E-2
1.120000E-8	3.057787E-2
1.125000E-8	3.112602E-2
1.130000E-8	3.171013E-2
1.135000E-8	3.226855E-2
1.140000E-8	3.279443E-2
1.145000E-8	3.323637E-2
1.150000E-8	3.362864E-2
1.155000E-8	3.394896E-2
1.160000E-8	3.415109E-2
1.165000E-8	3.423673E-2
1.170000E-8	3.415451E-2
1.175000E-8	3.399349E-2
1.180000E-8	3.370058E-2
1.185000E-8	3.323123E-2
1.190000E-8	3.265911E-2
1.195000E-8	3.203045E-2
1.200000E-8	3.133500E-2
1.205000E-8	3.059500E-2
1.210000E-8	2.988755E-2
1.215000E-8	2.916126E-2
1.220000E-8	2.842641E-2
1.225000E-8	2.779090E-2
1.230000E-8	2.723248E-2
1.235000E-8	2.677855E-2
1.240000E-8	2.643253E-2
1.245000E-8	2.618929E-2
1.250000E-8	2.604541E-2
