run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
Eurofer-HT_weld_2022-06-06-06.40um-450C_spot1-POS-1.txt 6.4611 3.4373089e+08 232680.7 0.069322258 4.1311832e-05 4.7839661e-06 1.0120891e-08 2.0299466e-10 NaN 0.023390569 0.00062203282 1.3981963 0.028225614 5.0001814e-09 NaN -0.0017826495 2.3667683e-05
Eurofer-HT_weld_2022-06-06-06.40um-450C_spot2-POS-1.txt 6.4611 3.4499194e+08 252421.53 0.063978806 4.329794e-05 4.9572866e-06 1.1397058e-08 3.492859e-14 NaN 0.019195963 0.00063444003 1.3670022 0.035237018 5.0000832e-09 NaN -0.0013716949 2.3077494e-05
Eurofer-HT_weld_2022-06-06-06.40um-500C_spot0-POS-1.txt 6.4611 3.3274238e+08 259838.23 0.06591725 3.5989444e-05 4.0371141e-06 9.6905465e-09 2.3052905e-12 NaN 0.020798277 0.00062140042 1.645262 0.031192325 5.0001266e-09 NaN -0.0030176331 2.9044792e-05
Eurofer-HT_weld_2022-06-06-06.40um-500C_spot1-POS-1.txt 6.4611 3.411872e+08 233124.47 0.065889227 3.8820181e-05 4.3867283e-06 1.0227159e-08 1.3883194e-11 NaN 0.024646148 0.0006110384 1.2520264 0.026056132 5.0873566e-09 NaN -0.001492093 2.6495113e-05
Eurofer-HT_weld_2022-06-06-06.40um-500C_spot2-POS-1.txt 6.4611 3.4237904e+08 233099.32 0.06729975 3.6912543e-05 4.2196963e-06 9.6244236e-09 6.2672086e-10 NaN 0.023210011 0.00056237427 1.2651655 0.025710929 5.2138729e-09 NaN -0.0022932574 2.7268769e-05
Eurofer-HT_weld_2022-06-06-06.40um-550C_spot0-POS-1.txt 6.4611 3.2565487e+08 285431.32 0.059609284 3.3873634e-05 3.9919571e-06 1.0109014e-08 2.2687884e-14 NaN 0.018043167 0.00055406035 1.7885872 0.031903206 5.1909037e-09 NaN -0.0018483893 2.7924128e-05
Eurofer-HT_weld_2022-06-06-06.40um-550C_spot1-POS-1.txt 6.4611 3.2788741e+08 301904.27 0.067468924 0.00019205026 3.8992246e-06 1.5783791e-08 4.9653256e-06 2.8615476e-07 0.018389851 0.00056974425 1.4025379 0.031331463 5.2276364e-09 NaN -0.00148119 3.9150129e-05
Eurofer-HT_weld_2022-06-06-06.40um-550C_spot2-POS-1.txt 6.4611 8.5438557e+08 590233.15 0.056224215 0.00018780411 3.7336669e-06 1.8827291e-08 2.4032645e-07 3.5713684e-07 0.0072643705 0.00061876005 2.3540126 0.088349764 5.000184e-09 NaN -0.0013349285 4.3086573e-05
Eurofer-HT_weld_2022-06-06-06.40um-600C_spot0-POS-1.txt 6.4611 3.2348264e+08 412881.92 0.059976952 0.00016850028 3.1969287e-06 1.7714342e-08 1.0543578e-05 2.9998056e-07 0.0023690833 0.00014862987 1.3005448 0.063510835 1.2344337e-08 NaN -0.0024461398 5.5485711e-05
Eurofer-HT_weld_2022-06-06-06.40um-600C_spot1-POS-1.txt 6.4611 3.1665579e+08 378334.2 0.058347056 0.00015949578 3.0447062e-06 1.7738452e-08 7.4188361e-06 3.098719e-07 0.0041793502 0.00021004856 1.6348711 0.049773441 9.4635378e-09 NaN -0.003344238 5.9677425e-05
Eurofer-HT_weld_2022-06-06-06.40um-600C_spot2-POS-1.txt 6.4611 8.7803453e+08 577820.37 0.057457275 0.00017090215 3.2047972e-06 1.8903951e-08 1.1439297e-05 3.1379783e-07 0.0039904403 0.00065580771 -0.0096894105 0.17030937 5.0000706e-09 NaN -0.0027939034 5.6418091e-05
Eurofer-HT_weld_2022-06-06-06.40um-650C_spot0-POS-1.txt 6.4611 1.0188186e+09 534312.57 0.058676645 0.00019798823 3.7316692e-06 1.9578081e-08 1.5834852e-05 3.1237349e-07 0.00027743566 5.3816192e-05 -0.71416138 0.12946037 6.8826031e-08 1.7458076e-08 -0.0013200423 4.4016694e-05
Eurofer-HT_weld_2022-06-06-06.40um-650C_spot1-POS-1.txt 6.4611 9.6771293e+08 662105.93 0.062266085 0.00016425996 3.3452018e-06 1.6907317e-08 6.7672729e-06 2.7779805e-07 0.00026731108 0.00010147533 0.2159462 0.24679744 2.7841995e-08 1.2848222e-08 -0.0034658032 5.2095923e-05
Eurofer-HT_weld_2022-06-06-06.40um-650C_spot2-POS-1.txt 6.4611 9.2199689e+08 568403.37 0.053330349 0.00019482673 3.6323658e-06 2.0551184e-08 2.6703999e-06 3.9065014e-07 9.2175203e-05 7.6422782e-05 0.25404035 0.5356913 4.2910731e-08 4.416596e-08 -0.0023117491 4.6228008e-05
Eurofer-HT_weld_2022-06-06-06.40um-700C_spot0-POS-1.txt 6.4611 8.8593985e+08 539237.15 0.041454129 4.9503974e-05 5.494774e-06 2.0018721e-08 3.9960572e-14 NaN 0.00025114883 0.00011163905 -3.6941823 0.29107756 2.8740917e-08 1.5761905e-08 0.00019032312 2.2022333e-05
Eurofer-HT_weld_2022-06-06-06.40um-700C_spot1-POS-1.txt 6.4611 8.6317783e+08 615048.13 0.043328185 7.2137564e-05 6.5800284e-06 2.7727371e-08 3.7681113e-14 NaN 0.0032364542 0.00072702079 -0.62447957 0.22494083 5.0036632e-09 NaN -0.00010627946 2.2995615e-05
Eurofer-HT_weld_2022-06-06-06.40um-700C_spot2-POS-1.txt 6.4611 9.6234903e+08 482650.27 0.040437126 4.3030702e-05 5.1370921e-06 1.7836346e-08 2.2213736e-14 NaN 0.00034298411 0.0001574746 -0.10769567 0.45307636 1.1904455e-08 NaN -0.00034119295 2.1449903e-05
