Study Name	Eurofer
Sample Name	HT_weld_2022-06-06
Run Name	200C_spot1
Operator	Ben
Date	6/6/2022
Time	10:26
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	10:26:41
	
Time	Amplitude
9.050000E-9	7.226765E-2
9.100000E-9	7.238242E-2
9.150000E-9	7.226765E-2
9.200000E-9	7.180858E-2
9.250000E-9	7.108571E-2
9.300000E-9	7.014530E-2
9.350000E-9	6.884175E-2
9.400000E-9	6.730181E-2
9.450000E-9	6.569335E-2
9.500000E-9	6.398554E-2
9.550000E-9	6.216296E-2
9.600000E-9	6.025131E-2
9.650000E-9	5.836535E-2
9.700000E-9	5.651707E-2
9.750000E-9	5.472190E-2
9.800000E-9	5.308090E-2
9.850000E-9	5.170368E-2
9.900000E-9	5.052860E-2
9.950000E-9	4.967555E-2
1.000000E-8	4.904519E-2
1.005000E-8	4.852445E-2
1.010000E-8	4.817329E-2
1.015000E-8	4.805853E-2
1.020000E-8	4.803968E-2
1.025000E-8	4.802427E-2
1.030000E-8	4.817501E-2
1.035000E-8	4.850903E-2
1.040000E-8	4.890986E-2
1.045000E-8	4.934324E-2
1.050000E-8	4.997360E-2
1.055000E-8	5.073929E-2
1.060000E-8	5.156151E-2
1.065000E-8	5.245053E-2
1.070000E-8	5.340636E-2
1.075000E-8	5.442385E-2
1.080000E-8	5.541907E-2
1.085000E-8	5.635263E-2
1.090000E-8	5.724679E-2
1.095000E-8	5.802276E-2
1.100000E-8	5.864285E-2
1.105000E-8	5.925779E-2
1.110000E-8	5.989501E-2
1.115000E-8	6.036436E-2
1.120000E-8	6.082172E-2
1.125000E-8	6.124139E-2
1.130000E-8	6.161139E-2
1.135000E-8	6.188889E-2
1.140000E-8	6.211328E-2
1.145000E-8	6.218523E-2
1.150000E-8	6.210129E-2
1.155000E-8	6.184435E-2
1.160000E-8	6.132875E-2
1.165000E-8	6.063329E-2
1.170000E-8	5.982821E-2
1.175000E-8	5.884326E-2
1.180000E-8	5.771100E-2
1.185000E-8	5.644684E-2
1.190000E-8	5.515357E-2
1.195000E-8	5.379348E-2
1.200000E-8	5.246252E-2
1.205000E-8	5.120008E-2
1.210000E-8	5.000444E-2
1.215000E-8	4.885505E-2
1.220000E-8	4.803455E-2
1.225000E-8	4.739904E-2
1.230000E-8	4.682520E-2
1.235000E-8	4.650317E-2
1.240000E-8	4.632845E-2
1.245000E-8	4.620854E-2
1.250000E-8	4.623766E-2
1.255000E-8	4.634386E-2
1.260000E-8	4.658539E-2
1.265000E-8	4.692455E-2
1.270000E-8	4.723117E-2
1.275000E-8	4.769881E-2
1.280000E-8	4.826751E-2
1.285000E-8	4.887218E-2
1.290000E-8	4.953338E-2
1.295000E-8	5.028536E-2
1.300000E-8	5.099795E-2
1.305000E-8	5.172767E-2
1.310000E-8	5.239572E-2
1.315000E-8	5.304664E-2
1.320000E-8	5.371469E-2
1.325000E-8	5.434334E-2
1.330000E-8	5.498227E-2
1.335000E-8	5.561949E-2
1.340000E-8	5.621559E-2
1.345000E-8	5.674490E-2
1.350000E-8	5.722966E-2
1.355000E-8	5.753285E-2
1.360000E-8	5.767160E-2
1.365000E-8	5.774526E-2
1.370000E-8	5.773327E-2
1.375000E-8	5.761165E-2
1.380000E-8	5.730503E-2
